epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,3047.65,0.42752,0.30095,0.90066,0.84086,0.82121,0.84408,0.69379,0.69833,0.58287,1.08379,0.000352076,0.000352076,0.000352076
71,3093.31,0.42888,0.29822,0.89736,0.8426,0.80985,0.83426,0.69199,0.68984,0.60006,1.07769,0.000341077,0.000341077,0.000341077
72,3138.6,0.42263,0.29626,0.89377,0.838,0.80449,0.83214,0.68801,0.69644,0.62093,1.07952,0.000330078,0.000330078,0.000330078
73,3184.51,0.42193,0.29242,0.89436,0.83304,0.80651,0.82947,0.68734,0.69791,0.6256,1.09085,0.000319079,0.000319079,0.000319079
74,3230.8,0.41887,0.291,0.89677,0.85027,0.81854,0.8418,0.69785,0.69822,0.60771,1.09091,0.00030808,0.00030808,0.00030808
75,3276.31,0.41919,0.28851,0.89712,0.83434,0.80456,0.83167,0.68989,0.69735,0.61482,1.09545,0.000297081,0.000297081,0.000297081
76,3321.58,0.40505,0.27877,0.88919,0.83446,0.82542,0.83817,0.6945,0.68233,0.60762,1.08852,0.000286083,0.000286083,0.000286083
77,3366.9,0.39793,0.28093,0.8918,0.84719,0.82093,0.84585,0.69722,0.69066,0.60384,1.09297,0.000275084,0.000275084,0.000275084
78,3414.57,0.40414,0.27871,0.89177,0.85749,0.80219,0.83087,0.68418,0.69463,0.61707,1.08895,0.000264085,0.000264085,0.000264085
79,3460.22,0.39943,0.2798,0.88727,0.84008,0.81017,0.82881,0.68594,0.68869,0.61738,1.08811,0.000253086,0.000253086,0.000253086
80,3505.93,0.39911,0.27964,0.88793,0.84361,0.80938,0.83596,0.69421,0.69274,0.61246,1.10062,0.000242087,0.000242087,0.000242087
81,3551.26,0.38734,0.26618,0.88441,0.84933,0.80426,0.83227,0.68925,0.68589,0.59824,1.09361,0.000231088,0.000231088,0.000231088
82,3596.59,0.39652,0.27474,0.88714,0.83513,0.81942,0.83899,0.69269,0.68513,0.59513,1.0844,0.000220089,0.000220089,0.000220089
